Date,Clicks,Impressions,CTR,Position
2026-06-21,0,11,0%,58.5
2026-06-22,0,4,0%,40.5
2026-06-23,0,8,0%,85.4
2026-06-24,0,13,0%,69
2026-06-25,0,2,0%,94.5
2026-06-26,0,2,0%,55.5
2026-06-27,0,11,0%,78.7
2026-06-28,0,4,0%,83.2
2026-06-29,0,2,0%,88
2026-06-30,0,4,0%,82.8
2026-07-01,0,4,0%,69
2026-07-02,0,3,0%,58
2026-07-03,0,4,0%,93.2
2026-07-04,0,2,0%,70
2026-07-05,0,1,0%,65
2026-07-06,0,8,0%,93.8
2026-07-07,0,2,0%,1
2026-07-08,1,3,33.33%,60.3
2026-07-09,0,6,0%,81.3
2026-07-10,0,8,0%,83.4
2026-07-11,0,8,0%,63.5
2026-07-12,0,9,0%,58.6
2026-07-13,0,5,0%,77.2
2026-07-14,0,4,0%,70.8
2026-07-15,0,10,0%,82.3
2026-07-16,0,6,0%,75.3
2026-07-17,0,6,0%,83.5
2026-07-18,0,1,0%,91
2026-07-19,0,3,0%,65.3
2026-07-20,0,6,0%,67
2026-07-21,0,8,0%,90
2026-07-22,0,9,0%,75.6
2026-07-23,0,9,0%,64.8
2026-07-24,0,2,0%,76
2026-07-25,0,7,0%,69.1
2026-07-26,0,3,0%,74
2026-07-27,0,30,0%,32.4
2026-07-28,0,58,0%,37.3
2026-07-29,0,38,0%,29
2026-07-30,1,43,2.33%,26.1
2026-07-31,0,40,0%,48.9
2026-08-01,0,46,0%,30.4
2026-08-02,0,45,0%,35
2026-08-03,0,30,0%,18.4
2026-08-04,0,37,0%,28.8
2026-08-05,0,41,0%,19.1
2026-08-06,0,43,0%,24.3
2026-08-07,0,21,0%,13.1
2026-08-08,0,18,0%,23.5
2026-08-09,1,45,2.22%,29.3
2026-08-10,0,67,0%,23.7
2026-08-11,0,57,0%,31.9
2026-08-12,1,79,1.27%,36.2
2026-08-13,0,73,0%,35.5
2026-08-14,0,65,0%,32.1
2026-08-15,0,71,0%,39.4
2026-08-16,0,59,0%,35.9
2026-08-17,0,57,0%,28.7
2026-08-18,0,65,0%,33.9
2026-08-19,1,61,1.64%,35.7
2026-08-20,0,64,0%,32.2
2026-08-21,0,34,0%,25.9
2026-08-22,2,130,1.54%,20.2
2026-08-23,1,701,0.14%,13.9
2026-08-24,1,1373,0.07%,13.7
2026-08-25,3,1739,0.17%,15.2
2026-08-26,1,1995,0.05%,14.7
2026-08-27,2,2328,0.09%,14.1
2026-08-28,2,2153,0.09%,15.3
2026-08-29,4,1408,0.28%,14.8
2026-08-30,0,792,0%,14
2026-08-31,1,698,0.14%,11.9
2026-09-01,0,761,0%,11.7
2026-09-02,0,824,0%,11.2
2026-09-03,0,706,0%,13.2
2026-09-04,0,668,0%,11.5
2026-09-05,1,609,0.16%,12
2026-09-06,0,532,0%,11.5
2026-09-07,0,527,0%,12.4
2026-09-08,1,564,0.18%,13.8
2026-09-09,2,520,0.38%,12.1
2026-09-10,2,449,0.45%,11
2026-09-11,3,331,0.91%,12.2
2026-09-12,3,296,1.01%,12.2
2026-09-13,3,387,0.78%,13.1
2026-09-14,2,495,0.4%,11.1
2026-09-15,1,467,0.21%,12.2
2026-09-16,0,654,0%,14.6
2026-09-17,0,922,0%,16.7
2026-09-18,4,878,0.46%,17.9
2026-09-19,4,971,0.41%,16.8
2026-09-20,4,1229,0.33%,15.1
