Top pages,Clicks,Impressions,CTR,Position
https://www.teachings.ai/learn/alphabets/letter-e.html,7,3807,0.18%,9.84
https://www.teachings.ai/downloads.html,4,83,4.82%,10.31
https://www.teachings.ai/bodyparts.html,4,40,10%,12.78
https://www.teachings.ai/learn/alphabets/letter-t.html,3,3165,0.09%,11.68
https://www.teachings.ai/learn/alphabets/letter-a.html,3,767,0.39%,16.05
https://www.teachings.ai/learn/numbers/number-5.html,3,237,1.27%,23.08
https://www.teachings.ai/countries.html,3,49,6.12%,20.02
https://www.teachings.ai/learn/alphabets/letter-n.html,2,2246,0.09%,10.4
https://www.teachings.ai/learn/alphabets/letter-p.html,2,1824,0.11%,11.26
https://www.teachings.ai/learn/fruits/kiwi.html,2,1396,0.14%,41.96
https://www.teachings.ai/numbers.html,2,31,6.45%,9.32
https://www.teachings.ai/learn/vehicles/fighter-jet.html,2,9,22.22%,8.44
https://www.teachings.ai/learn/alphabets/letter-s.html,1,2309,0.04%,10.26
https://www.teachings.ai/learn/alphabets/letter-o.html,1,1977,0.05%,12.9
https://www.teachings.ai/learn/alphabets/letter-i.html,1,803,0.12%,14.66
https://www.teachings.ai/learn/alphabets/letter-q.html,1,758,0.13%,11.22
https://www.teachings.ai/learn/alphabets/letter-h.html,1,456,0.22%,32
https://www.teachings.ai/learn/alphabets/letter-r.html,1,443,0.23%,15.86
https://www.teachings.ai/colors.html,1,35,2.86%,6.97
https://www.teachings.ai/animals.html,1,29,3.45%,8.83
https://www.teachings.ai/learn/shapes/heart.html,1,27,3.7%,8.56
https://www.teachings.ai/learn/phonics/pen.html,1,23,4.35%,8.17
https://teachings.ai/,1,18,5.56%,2.61
https://www.teachings.ai/plants.html,1,15,6.67%,13.8
https://www.teachings.ai/learn/nature/forest.html,1,9,11.11%,32.22
https://www.teachings.ai/learn/body-parts/arms.html,1,8,12.5%,7
https://www.teachings.ai/,1,2,50%,1
https://www.teachings.ai/learn/alphabets/letter-l.html,0,1065,0%,15.81
https://www.teachings.ai/learn/alphabets/letter-d.html,0,783,0%,13.3
https://www.teachings.ai/learn/alphabets/letter-m.html,0,748,0%,11.06
https://www.teachings.ai/learn/alphabets/letter-x.html,0,378,0%,10.42
https://www.teachings.ai/learn/alphabets/letter-y.html,0,297,0%,12.53
https://www.teachings.ai/learn/alphabets/letter-w.html,0,292,0%,17.03
