Top queries,Clicks,Impressions,CTR,Position
number5,3,3,100%,28
letter e,2,2127,0.09%,9.48
letter t,2,1064,0.19%,9.48
a,2,517,0.39%,13.57
n,1,1436,0.07%,9.62
o,1,1053,0.09%,12.43
letter p,1,496,0.2%,10.48
h,1,253,0.4%,40.12
e alphabet,1,242,0.41%,8.27
letter r,1,182,0.55%,12.43
s,1,134,0.75%,8.87
letter i for kids,1,41,2.44%,8.17
letter e for kids,1,37,2.7%,8.14
letter t alphabet,1,26,3.85%,8.73
letter a for kids,1,17,5.88%,8.76
upper and lower case p,1,9,11.11%,1
english letter e,1,4,25%,8.5
e letter,1,4,25%,11.25
letter s,0,1187,0%,8.49
l,0,605,0%,16.78
letter i,0,368,0%,10.88
letter d,0,313,0%,10.71
the letter e,0,277,0%,10.76
what letter is t in the alphabet,0,241,0%,10
letter m,0,241,0%,10.36
letter n,0,213,0%,9.68
letter q,0,213,0%,10.23
alphabet e,0,198,0%,8.5
t letter,0,191,0%,16.8
p letter,0,173,0%,10.49
5,0,158,0%,20.73
6,0,146,0%,20.28
s letter,0,133,0%,9.18
10,0,121,0%,16.02
letter o,0,119,0%,11.01
alphabet s,0,111,0%,9.29
the letter t,0,108,0%,10.61
alphabet p,0,103,0%,8.83
t alphabet,0,103,0%,9.55
kiwi fruit,0,103,0%,67.17
n for,0,92,0%,8.77
what letter of the alphabet is t,0,90,0%,9.64
what letter of the alphabet is p,0,87,0%,10.16
letter b,0,85,0%,12.54
what letter is o in the alphabet,0,77,0%,10.29
what letter is m in the alphabet,0,74,0%,10.51
what letter of the alphabet is m,0,73,0%,9.14
q letter,0,72,0%,9.08
alphabet letter e,0,71,0%,9.1
letter g,0,68,0%,12.97
alphabet t,0,65,0%,9.22
letter x,0,63,0%,10.67
letter w,0,61,0%,9.43
letter y,0,60,0%,13.28
%s,0,59,0%,8.66
letter l,0,58,0%,17.6
w letter,0,58,0%,19.26
what letter of the alphabet is o,0,56,0%,9.91
letter a,0,56,0%,19.95
.o,0,55,0%,11.58
letter h,0,51,0%,15.57
write t,0,50,0%,9
m alphabet,0,49,0%,9.49
square shape,0,49,0%,12.37
letter z,0,49,0%,13.84
d-letter,0,48,0%,24.85
letter v,0,46,0%,14.5
the letter s,0,43,0%,10.37
o letter,0,42,0%,17.19
i for alphabet,0,41,0%,9.44
t is which letter of the alphabet,0,40,0%,9.97
p alphabet,0,40,0%,10.43
z letter,0,36,0%,10.42
d letter,0,35,0%,18.71
h letter,0,35,0%,30.34
y letter,0,34,0%,9.85
s alphabet,0,32,0%,9.78
what letter of the alphabet is n,0,32,0%,9.78
w,0,32,0%,22.56
